Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body,HD scenario body #2 (negation scenarios only),HD comprehension question,HD correct response,HD incorrect response,HD photo link,Letters Missing
Work/Career Development,,,Meeting New People,"You started working at a new job this fall. Since your job is remote, you haven't been able to meet any of your colleagues in person. You have seen photos of some of them hanging out, and you feel lonely.",You decide to take initiative and ask for their numbers. You feel hopeful.,Can you still make friends with your colleagues even though everything is online?,Yes,No,./images/Meeting_New_People.jpeg,1
Work/Career Development,,,Getting an Opportunity,"You have submitted a resume and an application for a job that you have been hoping to get. You hope to get an interview for the job after they review your application, but you know it is very competitive. With your qualifications, you expect to get a call.",,Your qualifications will,Put you in a good position to get an interview.,Are probably not strong enough to make you stand out.,./images/Getting_an_Opportunity.jpeg,1
Work/Career Development,Mental Health,,Reviewing Your Work ,"You have been called in for a performance review with your boss. Overall, you do good work, but you know your boss has noticed some errors recently. As you prepare for the review, you think that your meeting will probably focus on your successes.",,Your boss likely feels that,Most of your work has been of very high quality.,Your mistakes have been serious and unacceptable.,./images/Reviewing_Your_Work.jpeg,1
Work/Career Development,Social Situations,,Scheduling Conflicts,You are currently have a lot going on with work. Your friend who you have not seen in a while has asked you to hang out the night before a deadline. You know that you need to prioritize your work but worry that your friend will be upset for not making time for them. ,You realize that you will have greater flexibility in the next few weeks to see your friend and that they will understand that you need to work.,Will your friend be mad at you for not seeing them?,No,Yes,./images/Scheduling_Conflicts.jpeg,1
Work/Career Development,,,Your Resume,"You are preparing to apply for a new job. You have a meeting with a potential employer tomorrow, and you know that a good resume will be an important factor. As you look over your resume, you think that the interviewer will be favorable.",,Your potential employer will probably think,That your previous experience is a good fit for the job.,That your listed skills are unimpressive.,./images/Your_Resume.jpeg,1
Work/Career Development,,,Your Resume,"You are preparing to apply for a new job. You have a meeting with a potential employer tomorrow, and you know that a good resume will be an important factor. ","As you look over your resume, you do not anticipate your potential employer writing you off, and you think that the interviewer will be impressed.",Will your potential employer think you have a strong resume?,Yes,No,./images/Your_Resume.jpeg,1
Work/Career Development,,,Changing Your Trajectory,"You have been in the same post for five years, and you are beginning to feel bored and unchallenged in your job. You would like to try for a new position, but you worry if you will be competitive on the job market. Thinking about your career trajectory, you believe your chances of finding a new job that you find fulfilling are likely.",,Given you experience and skills,You stand a good chance of landing a rewarding position.,You will probably be stuck in a job you don't enjoy.,./images/Changing_Your_Trajectory.jpeg,1
Work/Career Development,Mental Health,,Working to Get Ahead,"You have just been given a job in an office that you really admire. To eventually receive the promotion you want, you know that you will have to work very hard for several years and the outcome is uncertain. As you envision your likely position in the company down the road, you expect the job you want will be awarded to you.",,You think that you are,Capable of putting in the work necessary to get the job you want.,Unable to attain the position that you want.,./images/Working_to_Get_Ahead.jpeg,1
Work/Career Development,,,Taking Your Time,"Your boss calls on you to answer a question about the presentation just given. You don't know what to say, and your mind goes blank. After a few moments, you prepare your answer and feel ok.",N/A,Are you able to answer the question?,Yes,No,./images/Taking_Your_Time.jpeg,1
Work/Career Development,,,First meeting,"Your supervisor arranges a meeting for you with a new coworker you have yet to meet. As you sit in the room waiting to meet this coworker for the first time, you wonder how it will go. You feel that your coworker will think you are pleasant.",N/A,Do you think you will make a bad impression on your new coworker?,No,Yes,./images/First_meeting.jpeg,1
