Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,Letters Missing
Work/Career Development,,,Putting in the Work,"This year, you've decided to take on more weekly hours. This is your first time working this many hours and you've heard from your peers that it's difficult. When you think about the workload, you think that you will be able to handle it well.",,Will you succeed with your new workload?,Yes,No,https://drive.google.com/file/d/1P-A1Dw9BpwfIdrZwOnIWzDOp28x4JMYX/view?usp=sharing,all
Work/Career Development,,,Social Media Feedback,"You sent an email to your department a few hours ago, asking for responses on a topic. You check to see who's responded and notice that your boss hasn't responded yet. You think about how your boss didn't read the email from you and you feel sad.","You look at who did respond, and notice other coworkers have given their input. When you think about your boss not responding yet, you are accepting.",Is it okay that your boss hasn't responded yet?,Yes,No,https://drive.google.com/file/d/1azOE2eRIrdOPl9AdAR61tTkqUFdsq0zB/view?usp=sharing,all
Work/Career Development,,,A Crucial Call,"Today, you will receive an important call. You'll find out if you got the job you interviewed for. As you think about waiting for the call, your anxiety is tolerable.",N/A,Are you able to tolerate feeling anxious while waiting for the call?,Yes,No,https://drive.google.com/file/d/1fZ5gwS6hpP38y6RtFHzIC7gnpeeFtrLF/view?usp=sharing,all
Work/Career Development,Physical Health,,Rearranging After Exposure,"You have a presentation for your department coming up, and you’ve been working hard in the hopes that you'll impress your supervisor. The night before, you find out a friend you had dinner with has a virus, and now you're feeling sick. You think your supervisor will understand and help you arrange a better time to present.",N/A,Will your supervisor penalize you for getting sick?,No,Yes,https://drive.google.com/file/d/1LZ8XwsmS6Mv9US_1WNyY0mc2GBN-ABHf/view?usp=drive_link,all
Work/Career Development,Mental Health,,Waking Up Ready,"As you're finishing an assignment at midnight, you realize you still have a couple of tasks left. You plan to wake up a little early to finish them. While you're setting your alarm and thinking about your plan, you feel confident.",,Are you anxious about your plan to finish your tasks in the morning?,No,Yes,https://drive.google.com/file/d/1C9qzCVMZ7rrXL8Njc7rKFEyQWGercs6i/view?usp=sharing,all
Work/Career Development,,,Ready to Work,"You have a lot of tasks to finish tomorrow. You've been procrastinating getting it done because it is going to be hard. When you think about doing your work tonight, you feel ready.",,Are you going to complete your work?,Yes,No,https://drive.google.com/file/d/138KwXI1ZSspZLnHlHYI_qShR6wXbuAKg/view?usp=drive_link,all
Work/Career Development,,,Taking Your Own Career Path,"You've decided to take time off work to travel. You don't know anyone who has taken this type of break, and all of your friends are questioning it. When you think about your decision, you feel like it's right.",,Are you satisfied with your decision to go take time off to travel?,Yes,No,https://drive.google.com/file/d/1T7YdAdETacEaggsYW81HUKjoT_lV5Ptt/view?usp=sharing,all
Work/Career Development,,,Reconnecting With People,"You have had a lot of work pile up these past couple of weeks. As a result, you have not been able to spend time with friends or family as much as you would want and have often times felt lonely. Once your workload lessens, you plan on reconnecting with people who mean a lot to you.",N/A,Will you be able to hang out with friends and family when you have more time?,Yes,No,https://drive.google.com/file/d/1oRVHiCteKOP5kuq94IS2VDj-UvycRI7V/view?usp=sharing,all
Work/Career Development,Social Situations,,Not Invited to Dinner,"You just started at a new job and you work with lots of new people. You hear a few of them laughing together and talking about going out to dinner and you wait for them to invite you, eager to make friends, but they don't. You feel okay with this and look forward to reaching out next time.",N/A,Is it too late to befriend your new coworkers?,No,Yes,https://drive.google.com/file/d/1nVCrQvzsMF5KCRUZMiYr0rakkwQqslrO/view?usp=sharing,all
Work/Career Development,,,Managing Multiple Positions,"You recently decided to join a new neighborhood organization on top of your job. At a meeting for the new group, you brought the wrong notebook and have notes for your job, which aren't useful here. You think managing being in this new group will be difficult.",N/A,Will it be hard to be in this new organization?,Yes,No,https://drive.google.com/file/d/1riJmfoH9pMuH_OSdp0f7YQKFJ6FTfNrO/view?usp=sharing,all
Work/Career Development,,,Wrapping Up Work,"Work has been piling up at your job recently, and you were going to take the weekend to catch up. However, your friend reminded you of an event this weekend that you committed to, and it would be rude to cancel last minute. You think that completing your work will be doable.",N/A,Will you be able to do work this weekend?,Yes,No,https://drive.google.com/file/d/1gJDoLG7URU4HHx8zhlc35lrAo1XCsO_8/view?usp=sharing,all
Work/Career Development,Social Situations,,Misunderstanding,You are in a meeting and reach to put your phone away as the new head of your department starts talking. He mistakes this for you texting during the meeting and calls you out in front of everyone. You go up to apologize afterwards and you can't read your head of department's expression.,"After explaining what happened to the head of your department, he says he understands. You feel like you will still be able make a good impression.",Will your department head view you negatively because of this?,No,Yes,https://drive.google.com/file/d/1zs5Zen5SreRnD91mUn6rtDWU2U5Icoe_/view?usp=sharing,all
Work/Career Development,Mental Health,,Committing to Activities,"You were very excited to return to in-person office work and decided to commit to a lot of activities. You've found it challenging to meet all of your responsibilities, and you worry that you are failing at everything. ","You realize that being back in-person is an adjustment, and it will take some time to get used to the business of an in-person workplace. You think that with everything you have going on, you're doing a great job. ",Can you handle your responsibilities?,Yes ,No,https://drive.google.com/file/d/1b4FsJv5cKIMQtEO-gCgq-Ezc9XEaINoP/view?usp=sharing,all
,,,Write Your Own,,,,,,,write your own
,,,Write Your Own,,,,,,,write your own
,,,Write Your Own,,,,,,,write your own
Work/Career Development,Mental Health,,Managing Responsibilities,"You have started to volunteer at a local organization and have had a difficult time managing it with work. One of the volunteer leaders asked if you would be willing to help her out with a project outside of your usual responsibilities,and you are worried if she will be disappointed if you say no. After thinking on it, you tell her that you can't help out with this project because of work, but are willing to help out on the next one.",N/A,Is it okay to turn down additional responsibility?,Yes,No,https://drive.google.com/file/d/1mnjPZpYIVahZEm1gr4Zu9gKZfMCjl2Tk/view?usp=sharing,1
Work/Career Development,Mental Health,,Taking a Break,"You've been very busy the past few months, and you haven't had a lot of free time. You finally have a chance to rest, but you feel guilty that you're taking a break rather than completing work. You think that you deserve to relax. ",N/A,Should you do your work right now?,No,Yes,https://drive.google.com/file/d/1OSRDlUvXTNnwLZlxsji3kxnfVjWLAKmD/view?usp=sharing,1
Work/Career Development,,,New Skill,"You have enrolled in a data science program offered by your workplace because you think it will be a useful skill to acquire going forward. You know the demand for people with data science experience is increasing, but the course is very difficult. Imagining how you will do in the program, you believe your efforts to learn some data science skills will be futile.",,You will most likely,Quit this program because you are doing poorly.,Complete the program and learn some useful data science skills.,https://drive.google.com/file/d/18HsxK2zdx8J0wLQE1QZITsfajDWRjgaX/view?usp=sharing,1
Work/Career Development,,,Speaking Up at Work,"Your boss is talking about one of your role models in your field of work during a meeting, and she asks if anyone knows about their work. You quickly raise your hand in front of everyone, and your colleagues turn to you. You realize that you feel confident.",,Are you embarrassed that you raised your hand?,No,Yes,https://drive.google.com/file/d/1qGMXNyoVsjti9RZVA8vAZ6RjVRacfgBv/view?usp=sharing,1
Work/Career Development,Mental Health,,Achieving Your Goals,"You would like to apply for a higher position at your job and further your skills. You know that the process of getting selected is rigorous, but you feel very passionate about achieving this goal and have worked hard to make yourself a good employee. You feel that your chances of getting this new job are reasonable.",,You think that your application,Puts you in a good position to get this new job.,Will not be good enough to get you the job.,https://drive.google.com/file/d/1mrbFakYThg_L8kgL1XKMSA2sHZ2fCEJy/view?usp=sharing,1
